연번,상호,시설주소,시설전화번호,,
1,금성헬스,서울특별시 서초구 서초동 1577-49 ,02-586-3558,,
2,서초헬스크럽,"서울특별시 서초구 사평대로 349  (반포동,2층)",02-542-5457,,
3,그린헬스,서울특별시 서초구 동광로 18  (방배동),02-537-9780,,
4,현대헬스,"서울특별시 서초구 방배천로 22  (방배동,3층)",02-583-9013,,
5,헬스토피아,"서울특별시 서초구 사평대로 362  (서초동,(3층))",,,
6,동호헬스클럽,"서울특별시 서초구 고무래로10길 17  (반포동,4층)",02-534-7758,,
7,그린짐,서울특별시 서초구 효령로 36  (방배동),02-586-2458,,
8,싸이버짐,"서울특별시 서초구 잠원로 94, B1층 (잠원동, 한신빌딩)",,,
9,한전아트센터스포츠클럽,서울특별시 서초구 효령로72길 60 (서초동),02-2055-1331,,
10,활로 피트 매니지먼트,"서울특별시 서초구 효령로 336 (서초동,지하1층)",02-598-9435,,
11,국가대표 소유창 휘트니스,"서울특별시 서초구 강남대로 617 (잠원동, 대양빌딩 4/5/6층)",,,
12,우성헬스 2,"서울특별시 서초구 서초중앙로 72  (서초동,지하1층)",02-582-1817,,
13,방배휘트니스클럽,"서울특별시 서초구 동광로 69  (방배동,2층)",02-593-2886,,
14,제이디아이스포츠,"서울특별시 서초구 반포대로12길 10  (서초동,4층)",02-522-3340,,
15,알로하짐,"서울특별시 서초구 바우뫼로7길 3, 중평빌딩 지하1층 (우면동)",,,
16,코리아짐,"서울특별시 서초구 서운로 142-4  (서초동,3층)",02-585-9104,,
17,아이러브 휘트니스,"서울특별시 서초구 강남대로 27 (양재동,농수산물유통공사 지하1층)",02-6300-2800,,
18,파워짐헬스크럽,"서울특별시 서초구 서초대로77길 25  (서초동,경일빌딩 7층)",02-3482-5810,,
19,코아텔휘트니스클럽,"서울특별시 서초구 강남대로53길 11  (서초동,지하2층)",02-6288-3301,,
20,대한퍼스널트레이닝,"서울특별시 서초구 사평대로55길 139  (반포동,미성빌딩4층)",02-515-2108,,
21,헬싱타운,"서울특별시 서초구 남부순환로 2636 (양재동,성문빌딩 지1층)",02-575-8343,,
22,듀발휘트니스,"서울특별시 서초구 서초중앙로22길 25  (서초동,서초리시온 2층)",02-584-0450,,
23,탑,"서울특별시 서초구 효령로53길 45  (서초동,서초이오빌 지1층)",02-586-2750,,
24,발리토탈휘트니스,"서울특별시 서초구 강남대로61길 23  (서초동,오르시떼빌딩 2층)",02-3477-8588,,
25,아크로 운동센타,"서울특별시 서초구 서초중앙로 197  (반포동,서호빌딩 지1층)",02-591-3777,,
26,방배역점 스포애니 주)케이디스포츠,"서울특별시 서초구 방배로 81 (방배동,6층)",02-586-4131,,
27,휘트니스 모션,"서울특별시 서초구 방배로 205 (방배동, 3층)",02-595-9922,,
28,우성A휘트니스,서울특별시 서초구 사임당로 158 (서초동),02-581-1230,,
29,마하헬스크럽,"서울특별시 서초구 방배천로2안길 23  (방배동,2층)",02-522-4045,,
30,휘트니스에프엠 교대점,"서울특별시 서초구 서초대로 314 (서초동,지1층)",02-585-8337,,
31,스피드순환운동,"서울특별시 서초구 바우뫼로 106  (양재동,(2층))",02-2057-4035,,
32,트리짐,서울특별시 서초구 반포동 30-2 삼호가든상가 3층 309-1호 ,02-599-3424,,
33,토마토휘트니스클럽,"서울특별시 서초구 신반포로47길 30  (잠원동,(2,3,4층))",02-515-2640,,
34,플라이 짐,"서울특별시 서초구 서운로 3 (서초동,(지하1층))",02-3474-8974,,
35,안전지대 휘트니스,"서울특별시 서초구 동작대로 230 (방배동,(지하1층))",02-595-9682,,
36,우정스포츠,"서울특별시 서초구 강남대로 359  (서초동,지하1층 B101호)",02-588-7218,,
37,마크짐휘트니스,"서울특별시 서초구 반포대로 63  (서초동,진석빌딩 지하1층)",02-521-1180,,
38,골드헬스클럽,"서울특별시 서초구 사임당로 143  (서초동,(지하1층))",02-581-5888,,
39,플레이핏 앤 필라테스,"서울특별시 서초구 서초중앙로 199 (반포동,(지하1층))",02-595-3060,,
40,언남문화체육센터,"서울특별시 서초구 동산로13길 35 (양재동,언남중고공공복합시설 지하중층)",02-577-7718,,
